record_id,decisionNumber,decisionDate,decision_month,decision_year,domains,domain_register,authority_name
4798758,2а-3351/2022,2022-08-02,2022-08,2022,['hello3.x-chel.org'],.org,Металлургический районный суд г. Челябинска - Челябинская область
4917517,2а-401/2022,2022-08-02,2022-08,2022,['d.cheki-rf.club'],.club,Варненский районный суд - Челябинская область
4887489,2а-3818/2022,2022-08-02,2022-08,2022,['cooltimes.info'],.info,Калининский районный суд г. Челябинска - Челябинская область
4686891,2а-1513/2022,2022-08-02,2022-08,2022,['magnitogorsk-kalyanika.ru'],.ru,Ленинский районный суд г. Магнитогорска - Челябинская область
4887550,2а-3812/2022,2022-08-02,2022-08,2022,['elki-palki-ufa.ru'],.ru,Калининский районный суд г. Челябинска - Челябинская область
4891814,2а-3819/2022,2022-08-02,2022-08,2022,['paosic.info'],.info,Калининский районный суд г. Челябинска - Челябинская область
4792218,2а-2769/2022,2022-08-02,2022-08,2022,['f-escort.com'],.com,Копейский городской суд - Челябинская область
4768518,2а-5879/2022,2022-08-02,2022-08,2022,['medknigka-voronezh.top'],.top,Центральный районный суд г. Челябинска - Челябинская область
4937006,2а-3816/2022,2022-08-02,2022-08,2022,['uchali.led-police.ru'],.ru,Калининский районный суд г. Челябинска - Челябинская область
4916108,2а-397/2022,2022-08-02,2022-08,2022,['2022.kupit-pasport-rf.online'],.online,Варненский районный суд - Челябинская область
4917668,2а-401/2022,2022-08-02,2022-08,2022,['xn----ctbjbpl9bwc.xn--p1ai'],,Варненский районный суд - Челябинская область
4930752,2а-2304/2022,2022-08-03,2022-08,2022,['g.zakazatcheki.ru'],.ru,Сосновский районный суд - Челябинская область
5073845,2а-3830/2022,2022-08-03,2022-08,2022,['xkunik.net'],.net,Советский районный суд г. Челябинска - Челябинская область
5329928,2а-3820/2022,2022-08-03,2022-08,2022,['xix.rusoska.net'],.net,Советский районный суд г. Челябинска - Челябинская область
5172631,2а-3820/2022,2022-08-03,2022-08,2022,['xax.rusoska.net'],.net,Советский районный суд г. Челябинска - Челябинская область
5243324,2а-3820/2022,2022-08-03,2022-08,2022,['xox.rusoska.net'],.net,Советский районный суд г. Челябинска - Челябинская область
4982556,2а-3820/2022,2022-08-03,2022-08,2022,['wvw.rusoska.net'],.net,Советский районный суд г. Челябинска - Челябинская область
5293920,2а-3820/2022,2022-08-03,2022-08,2022,['xex.rusoska.net'],.net,Советский районный суд г. Челябинска - Челябинская область
4759533,2а-3501/2022,2022-08-04,2022-08,2022,['www.2022ebyt.com'],.com,Советский районный суд г. Челябинска - Челябинская область
4714533,2а-836/2022,2022-08-04,2022-08,2022,['emanzhelinsk.bezpravrf.com'],.com,Еманжелинский городской суд - Челябинская область
4759515,2а-3863/2022,2022-08-04,2022-08,2022,['crime-drop.xyz'],.xyz,Советский районный суд г. Челябинска - Челябинская область
4804596,2а-3339/2022,2022-08-04,2022-08,2022,['poltavawave.com.ua'],.ua,Металлургический районный суд г. Челябинска - Челябинская область
4755524,2а-3499/2022,2022-08-04,2022-08,2022,['in.ufavip.best'],.best,Советский районный суд г. Челябинска - Челябинская область
4759655,2а-3501/2022,2022-08-04,2022-08,2022,['pro-eb.com'],.com,Советский районный суд г. Челябинска - Челябинская область
4843599,2а-3498/2022,2022-08-04,2022-08,2022,['x5.malvinki.net'],.net,Советский районный суд г. Челябинска - Челябинская область
4798498,2а-1507/2022,2022-08-05,2022-08,2022,['volgograd.sam-poehald.com'],.com,Озерский городской суд - Челябинская область
4785618,2а-748/2022,2022-08-05,2022-08,2022,['passport-rf.online'],.online,Еманжелинский городской суд - Челябинская область
4786864,2а-574/2022,2022-08-05,2022-08,2022,['individualki-vologda.top'],.top,Снежинский городской суд - Челябинская область
4787154,2а-749/2022,2022-08-05,2022-08,2022,['sher-lok.online'],.online,Еманжелинский городской суд - Челябинская область
5125503,2а-601/2022,2022-08-05,2022-08,2022,['b1.individualki-ufa-foto.top'],.top,Снежинский городской суд - Челябинская область
5187515,2а-4036/2022,2022-08-08,2022-08,2022,['oo.100-spravok.pro'],.pro,Курчатовский районный суд г. Челябинска - Челябинская область
4746261,2а-1050/2022,2022-08-08,2022-08,2022,['molodushki.com'],.com,Чебаркульский городской суд - Челябинская область
4792393,2а-3248/2022,2022-08-09,2022-08,2022,['kopeysk.pr-13.com'],.com,Копейский городской суд - Челябинская область
4718779,2а-3221/2022,2022-08-09,2022-08,2022,['vekneo.ru'],.ru,Копейский городской суд - Челябинская область
4718727,2а-3227/2022,2022-08-09,2022-08,2022,['azathioprinimure.website'],,Копейский городской суд - Челябинская область
4713826,2а-1607/2022 ~ М-1284/202,2022-08-09,2022-08,2022,['hookah-cat.store'],.store,Ленинский районный суд г. Магнитогорска - Челябинская область
4791824,2а-3246/2022,2022-08-09,2022-08,2022,['kopeysk.soos.su'],.su,Копейский городской суд - Челябинская область
4792105,2а-3250/2022,2022-08-09,2022-08,2022,['kopeysk.dlyavkontakte.ru'],.ru,Копейский городской суд - Челябинская область
4843932,2а-3708/2022,2022-08-11,2022-08,2022,['magazin1.replicano.org'],.org,Советский районный суд г. Челябинска - Челябинская область
4773149,2а-1537/2022,2022-08-11,2022-08,2022,['magnitogorsk.kalyan4-y.ru'],.ru,Ленинский районный суд г. Магнитогорска - Челябинская область
4981456,2а-6155/2022,2022-08-11,2022-08,2022,['nimfomanki.tel'],.tel,Центральный районный суд г. Челябинска - Челябинская область
4875940,2а-3834/2022,2022-08-11,2022-08,2022,['darkstore.club'],.club,Советский районный суд г. Челябинска - Челябинская область
5061867,2а-5992/2022,2022-08-11,2022-08,2022,['msk6.otsos18.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
4820864,2а-1185/2022,2022-08-12,2022-08,2022,['gunzi-sallings.ru'],.ru,Кыштымский городской суд - Челябинская область
4938012,2а-3395/2022,2022-08-15,2022-08,2022,['oruzheynikben.net'],.net,Металлургический районный суд г. Челябинска - Челябинская область
