record_id,decisionNumber,decisionDate,authority_id,authority_name,status,domains,urls
5330354,2а-891/2022,2022-10-18,2119,Уйский районный суд - Челябинская область,blocked,['chelyabinsk.areas-diplom24.com'],['http://chelyabinsk.areas-diplom24.com/diplom-o-vysshem-obrazovanii/krasnyj-diplom-s-prilozheniem']
5330383,2а-3776/2022,2022-09-02,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['pornokaef.me'],[]
5352984,2а-2712/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['sex1.prostitutkiartemafine.info'],[]
5353138,2а-2712/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['chelyabinsk.1.prostitutki-today.com'],[]
5353439,2а-2709/2022,2022-12-27,1514,Кыштымский городской суд - Челябинская область,blocked,['sex.prostitutkialushtydosug.info'],[]
5353589,2а-2703/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['sex2.prostitutkiaprelevkidosug.info'],[]
5353593,2а-2709/2022,2022-12-27,1514,Кыштымский городской суд - Челябинская область,blocked,['devochki74.ru'],[]
5353742,2а-2703/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['www2.chel-murmur.xyz'],[]
5353893,2а-2702/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['oruzhiemarket.com'],[]
5353897,2а-2703/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['spb24.soski-24.site'],[]
5358968,2а-2711/2022,2022-12-27,1514,Кыштымский городской суд - Челябинская область,blocked,['sex.prostitutkichelyabinskarelax.com'],[]
5359017,2а-2707/2022,2022-12-27,1514,Кыштымский городской суд - Челябинская область,blocked,['putanxoksearch.online'],[]
5359107,2а-3560/2022,2022-08-04,66,Курчатовский районный суд г. Челябинска - Челябинская область,blocked,['gmslots-casino.top'],[]
5359310,2а-2704/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['sex1.prostitutkiachinskatake.com'],[]
5359450,2а-2706/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['sex2.prostitutkiastrahanichange.net'],[]
5359528,2а-2704/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['sex.dosug-74.com'],[]
5359628,2а-2705/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['chelyabinsk3.prostitutki.store'],[]
5359669,2а-2706/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['sex1.prostitutkichelyabinskahappy.org'],[]
5359747,2а-2704/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['msk28.prostitutki.today'],[]
5359888,2а-2706/2022,2022-12-28,1514,Кыштымский городской суд - Челябинская область,blocked,['nightlove74.net'],[]
5360278,2а-2711/2022,2022-12-27,1514,Кыштымский городской суд - Челябинская область,blocked,['sex5.prostitutkiangarskatask.com'],[]
5360498,2а-2711/2022,2022-12-27,1514,Кыштымский городской суд - Челябинская область,blocked,['ch.chelamur.ru'],[]
5360547,2а-2707/2022,2022-12-27,1514,Кыштымский городской суд - Челябинская область,blocked,['m.feiportal-chelyabinsk.org'],[]
5360549,2а-2710/2022,2022-12-27,1514,Кыштымский городской суд - Челябинская область,blocked,['spb24.prostitutki-24.love'],[]
5373015,2а-5666/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['darkwebmafias.ws'],[]
